,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersInpadj,,,,,,,,,,,,,,,,,,
172,GO:0006508,proteolysis,360,40,40.24,0.4108,1,,,,,,,,,,,,,,,,,,
173,GO:0006974,cellular response to DNA damage stimulus,85,28,9.5,0.4331,1,,,,,,,,,,,,,,,,,,
174,GO:0006302,double-strand break repair,15,5,1.68,0.4451,1,,,,,,,,,,,,,,,,,,
175,GO:0006368,transcription elongation from RNA polymerase II promoter,6,2,0.67,0.4466,1,,,,,,,,,,,,,,,,,,
176,GO:0009968,negative regulation of signal transduction,8,2,0.89,0.4468,1,,,,,,,,,,,,,,,,,,
177,GO:0016180,snRNA processing,10,2,1.12,0.4469,1,,,,,,,,,,,,,,,,,,
178,GO:0000077,DNA damage checkpoint,5,1,0.56,0.4473,1,,,,,,,,,,,,,,,,,,
179,GO:0034472,snRNA 3'-end processing,5,1,0.56,0.4473,1,,,,,,,,,,,,,,,,,,
180,GO:0032981,mitochondrial respiratory chain complex I assembly,5,1,0.56,0.4473,1,,,,,,,,,,,,,,,,,,
181,GO:0000122,negative regulation of transcription by RNA polymerase II,5,1,0.56,0.4473,1,,,,,,,,,,,,,,,,,,
182,GO:0017183,peptidyl-diphthamide biosynthetic process from peptidyl-histidine,5,1,0.56,0.4473,1,,,,,,,,,,,,,,,,,,
183,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",5,1,0.56,0.4473,1,,,,,,,,,,,,,,,,,,
184,GO:0006821,chloride transport,5,1,0.56,0.4473,1,,,,,,,,,,,,,,,,,,
185,GO:0006310,DNA recombination,25,6,2.79,0.4714,1,,,,,,,,,,,,,,,,,,
186,GO:0006979,response to oxidative stress,14,2,1.56,0.4748,1,,,,,,,,,,,,,,,,,,
187,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,14,2,1.56,0.4748,1,,,,,,,,,,,,,,,,,,
188,GO:0050482,arachidonic acid secretion,6,1,0.67,0.5091,1,,,,,,,,,,,,,,,,,,
189,GO:0030150,protein import into mitochondrial matrix,6,1,0.67,0.5091,1,,,,,,,,,,,,,,,,,,
190,GO:0009452,7-methylguanosine RNA capping,6,1,0.67,0.5091,1,,,,,,,,,,,,,,,,,,
191,GO:0006400,tRNA modification,28,4,3.13,0.5117,1,,,,,,,,,,,,,,,,,,
192,GO:0015031,protein transport,101,12,11.29,0.5474,1,,,,,,,,,,,,,,,,,,
193,GO:0006886,intracellular protein transport,84,9,9.39,0.5529,1,,,,,,,,,,,,,,,,,,
194,GO:0006139,nucleobase-containing compound metabolic process,843,140,94.22,0.5609,1,,,,,,,,,,,,,,,,,,
195,GO:0042273,ribosomal large subunit biogenesis,7,1,0.78,0.5641,1,,,,,,,,,,,,,,,,,,
196,GO:0016226,iron-sulfur cluster assembly,7,1,0.78,0.5641,1,,,,,,,,,,,,,,,,,,
197,GO:0006633,fatty acid biosynthetic process,26,3,2.91,0.5685,1,,,,,,,,,,,,,,,,,,
198,GO:0006629,lipid metabolic process,233,25,26.04,0.6032,1,,,,,,,,,,,,,,,,,,
199,GO:0006383,transcription by RNA polymerase III,9,2,1.01,0.6121,1,,,,,,,,,,,,,,,,,,
200,GO:0006631,fatty acid metabolic process,34,4,3.8,0.6128,1,,,,,,,,,,,,,,,,,,
201,GO:0001682,tRNA 5'-leader removal,8,1,0.89,0.6129,1,,,,,,,,,,,,,,,,,,
202,GO:0006913,nucleocytoplasmic transport,19,2,2.12,0.6131,1,,,,,,,,,,,,,,,,,,
203,GO:0006506,GPI anchor biosynthetic process,19,2,2.12,0.6439,1,,,,,,,,,,,,,,,,,,
204,GO:0045892,"negative regulation of transcription, DNA-templated",15,3,1.68,0.6551,1,,,,,,,,,,,,,,,,,,
205,GO:0008272,sulfate transport,9,1,1.01,0.6562,1,,,,,,,,,,,,,,,,,,
206,GO:0016567,protein ubiquitination,32,4,3.58,0.6666,1,,,,,,,,,,,,,,,,,,
207,GO:0015986,ATP synthesis coupled proton transport,10,1,1.12,0.6947,1,,,,,,,,,,,,,,,,,,
208,GO:0006334,nucleosome assembly,10,1,1.12,0.6947,1,,,,,,,,,,,,,,,,,,
209,GO:0000398,"mRNA splicing, via spliceosome",61,9,6.82,0.7016,1,,,,,,,,,,,,,,,,,,
210,GO:0006413,translational initiation,14,4,1.56,0.7267,1,,,,,,,,,,,,,,,,,,
211,GO:0051604,protein maturation,17,3,1.9,0.7278,1,,,,,,,,,,,,,,,,,,
212,GO:0006644,phospholipid metabolic process,55,8,6.15,0.7575,1,,,,,,,,,,,,,,,,,,
213,GO:0006470,protein dephosphorylation,41,4,4.58,0.7832,1,,,,,,,,,,,,,,,,,,
214,GO:0006457,protein folding,36,3,4.02,0.7838,1,,,,,,,,,,,,,,,,,,
215,GO:0001522,pseudouridine synthesis,13,1,1.45,0.7863,1,,,,,,,,,,,,,,,,,,
216,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,13,1,1.45,0.7863,1,,,,,,,,,,,,,,,,,,
217,GO:0006418,tRNA aminoacylation for protein translation,28,2,3.13,0.8372,1,,,,,,,,,,,,,,,,,,
218,GO:0060271,cilium assembly,30,4,3.35,0.8495,1,,,,,,,,,,,,,,,,,,
219,GO:0009190,cyclic nucleotide biosynthetic process,16,1,1.79,0.8504,1,,,,,,,,,,,,,,,,,,
220,GO:0006355,"regulation of transcription, DNA-templated",309,33,34.54,0.8673,1,,,,,,,,,,,,,,,,,,
221,GO:0006915,apoptotic process,28,2,3.13,0.8674,1,,,,,,,,,,,,,,,,,,
222,GO:0007015,actin filament organization,18,1,2.01,0.8821,1,,,,,,,,,,,,,,,,,,
223,GO:0006887,exocytosis,19,1,2.12,0.8954,1,,,,,,,,,,,,,,,,,,
224,GO:0007165,signal transduction,324,22,36.21,0.8997,1,,,,,,,,,,,,,,,,,,
225,GO:0006468,protein phosphorylation,265,22,29.62,0.9702,1,,,,,,,,,,,,,,,,,,
226,GO:0035556,intracellular signal transduction,71,3,7.94,0.9724,1,,,,,,,,,,,,,,,,,,
227,GO:0044255,cellular lipid metabolic process,157,17,17.55,0.9803,1,,,,,,,,,,,,,,,,,,
228,GO:0006511,ubiquitin-dependent protein catabolic process,49,4,5.48,0.9823,1,,,,,,,,,,,,,,,,,,
229,GO:0034220,ion transmembrane transport,102,5,11.4,0.9907,1,,,,,,,,,,,,,,,,,,
230,GO:0007018,microtubule-based movement,48,2,5.36,0.9915,1,,,,,,,,,,,,,,,,,,
231,GO:0016192,vesicle-mediated transport,113,6,12.63,0.9985,1,,,,,,,,,,,,,,,,,,
232,GO:0007186,G protein-coupled receptor signaling pathway,119,4,13.3,0.9996,1,,,,,,,,,,,,,,,,,,
233,GO:0055085,transmembrane transport,293,15,32.75,0.9997,1,,,,,,,,,,,,,,,,,,
234,GO:0007608,sensory perception of smell,295,2,32.97,1,1,,,,,,,,,,,,,,,,,,
