,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersOutpaj,,,,,,,,,,,,,,,,,,
113,GO:0006814,sodium ion transport,12,2,1.22,0.34773,1,,,,,,,,,,,,,,,,,,
114,GO:0030431,sleep,12,2,1.22,0.34773,1,,,,,,,,,,,,,,,,,,
115,GO:0032222,"regulation of synaptic transmission, cholinergic",12,2,1.22,0.34773,1,,,,,,,,,,,,,,,,,,
116,GO:1903818,positive regulation of voltage-gated potassium channel activity,12,2,1.22,0.34773,1,,,,,,,,,,,,,,,,,,
117,GO:0009116,nucleoside metabolic process,12,2,1.22,0.34773,1,,,,,,,,,,,,,,,,,,
118,GO:0006779,porphyrin-containing compound biosynthetic process,7,2,0.71,0.34773,1,,,,,,,,,,,,,,,,,,
119,GO:0000154,rRNA modification,4,1,0.41,0.34822,1,,,,,,,,,,,,,,,,,,
120,GO:0006606,protein import into nucleus,4,1,0.41,0.34822,1,,,,,,,,,,,,,,,,,,
121,GO:0000027,ribosomal large subunit assembly,4,1,0.41,0.34822,1,,,,,,,,,,,,,,,,,,
122,GO:0070588,calcium ion transmembrane transport,4,1,0.41,0.34822,1,,,,,,,,,,,,,,,,,,
123,GO:0043666,regulation of phosphoprotein phosphatase activity,4,1,0.41,0.34822,1,,,,,,,,,,,,,,,,,,
124,GO:0006807,nitrogen compound metabolic process,1942,170,197.01,0.3851,1,,,,,,,,,,,,,,,,,,
125,GO:0006813,potassium ion transport,42,5,4.26,0.3858,1,,,,,,,,,,,,,,,,,,
126,GO:0035556,intracellular signal transduction,71,8,7.2,0.41065,1,,,,,,,,,,,,,,,,,,
127,GO:0006839,mitochondrial transport,23,4,2.33,0.41347,1,,,,,,,,,,,,,,,,,,
128,GO:0006826,iron ion transport,5,1,0.51,0.41441,1,,,,,,,,,,,,,,,,,,
129,GO:0042073,intraciliary transport,5,1,0.51,0.41441,1,,,,,,,,,,,,,,,,,,
130,GO:0007219,Notch signaling pathway,5,1,0.51,0.41441,1,,,,,,,,,,,,,,,,,,
131,GO:0032981,mitochondrial respiratory chain complex I assembly,5,1,0.51,0.41441,1,,,,,,,,,,,,,,,,,,
132,GO:0006897,endocytosis,5,1,0.51,0.41441,1,,,,,,,,,,,,,,,,,,
133,GO:0006879,cellular iron ion homeostasis,5,1,0.51,0.41441,1,,,,,,,,,,,,,,,,,,
134,GO:0006979,response to oxidative stress,14,2,1.42,0.423,1,,,,,,,,,,,,,,,,,,
135,GO:0006413,translational initiation,14,2,1.42,0.423,1,,,,,,,,,,,,,,,,,,
136,GO:0030833,regulation of actin filament polymerization,12,3,1.22,0.47269,1,,,,,,,,,,,,,,,,,,
137,GO:0009072,aromatic amino acid family metabolic process,10,2,1.01,0.47338,1,,,,,,,,,,,,,,,,,,
138,GO:0051180,vitamin transport,6,1,0.61,0.47389,1,,,,,,,,,,,,,,,,,,
139,GO:0006518,peptide metabolic process,206,14,20.9,0.48049,1,,,,,,,,,,,,,,,,,,
140,GO:0006511,ubiquitin-dependent protein catabolic process,49,5,4.97,0.48182,1,,,,,,,,,,,,,,,,,,
141,GO:0006869,lipid transport,33,4,3.35,0.49944,1,,,,,,,,,,,,,,,,,,
142,GO:0015031,protein transport,101,12,10.25,0.52466,1,,,,,,,,,,,,,,,,,,
143,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,17,2,1.72,0.52672,1,,,,,,,,,,,,,,,,,,
144,GO:0016226,iron-sulfur cluster assembly,7,1,0.71,0.52734,1,,,,,,,,,,,,,,,,,,
145,GO:0015914,phospholipid transport,7,1,0.71,0.52734,1,,,,,,,,,,,,,,,,,,
146,GO:0042147,"retrograde transport, endosome to Golgi",7,1,0.71,0.52734,1,,,,,,,,,,,,,,,,,,
147,GO:0016192,vesicle-mediated transport,113,11,11.46,0.54454,1,,,,,,,,,,,,,,,,,,
148,GO:0006418,tRNA aminoacylation for protein translation,28,3,2.84,0.55142,1,,,,,,,,,,,,,,,,,,
149,GO:0090305,nucleic acid phosphodiester bond hydrolysis,8,1,0.81,0.57538,1,,,,,,,,,,,,,,,,,,
150,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",9,1,0.91,0.61854,1,,,,,,,,,,,,,,,,,,
151,GO:0043547,positive regulation of GTPase activity,9,1,0.91,0.61854,1,,,,,,,,,,,,,,,,,,
152,GO:0016567,protein ubiquitination,32,3,3.25,0.64436,1,,,,,,,,,,,,,,,,,,
153,GO:0006367,transcription initiation from RNA polymerase II promoter,10,1,1.01,0.65732,1,,,,,,,,,,,,,,,,,,
154,GO:0008654,phospholipid biosynthetic process,34,3,3.45,0.65774,1,,,,,,,,,,,,,,,,,,
155,GO:0006396,RNA processing,192,8,19.48,0.68531,1,,,,,,,,,,,,,,,,,,
156,GO:0007165,signal transduction,324,31,32.87,0.71729,1,,,,,,,,,,,,,,,,,,
157,GO:0006099,tricarboxylic acid cycle,12,1,1.22,0.72349,1,,,,,,,,,,,,,,,,,,
158,GO:0006468,protein phosphorylation,265,24,26.88,0.75494,1,,,,,,,,,,,,,,,,,,
159,GO:0006486,protein glycosylation,39,3,3.96,0.77236,1,,,,,,,,,,,,,,,,,,
160,GO:0046907,intracellular transport,119,12,12.07,0.77661,1,,,,,,,,,,,,,,,,,,
161,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,14,1,1.42,0.7769,1,,,,,,,,,,,,,,,,,,
162,GO:0045892,"negative regulation of transcription, DNA-templated",15,1,1.52,0.79961,1,,,,,,,,,,,,,,,,,,
163,GO:0007275,multicellular organism development,27,4,2.74,0.81852,1,,,,,,,,,,,,,,,,,,
164,GO:0007018,microtubule-based movement,48,4,4.87,0.82624,1,,,,,,,,,,,,,,,,,,
165,GO:0071805,potassium ion transmembrane transport,29,3,2.94,0.83776,1,,,,,,,,,,,,,,,,,,
166,GO:0016055,Wnt signaling pathway,17,1,1.72,0.83835,1,,,,,,,,,,,,,,,,,,
167,GO:0006506,GPI anchor biosynthetic process,19,1,1.93,0.86961,1,,,,,,,,,,,,,,,,,,
168,GO:0006914,autophagy,19,1,1.93,0.86961,1,,,,,,,,,,,,,,,,,,
169,GO:0016043,cellular component organization,320,26,32.46,0.87366,1,,,,,,,,,,,,,,,,,,
170,GO:0006397,mRNA processing,82,5,8.32,0.89618,1,,,,,,,,,,,,,,,,,,
171,GO:0000398,"mRNA splicing, via spliceosome",61,4,6.19,0.91007,1,,,,,,,,,,,,,,,,,,
172,GO:0007186,G protein-coupled receptor signaling pathway,119,9,12.07,0.91831,1,,,,,,,,,,,,,,,,,,
173,GO:0009058,biosynthetic process,910,56,92.32,0.91913,1,,,,,,,,,,,,,,,,,,
174,GO:0006633,fatty acid biosynthetic process,26,1,2.64,0.9386,1,,,,,,,,,,,,,,,,,,
175,GO:0034220,ion transmembrane transport,102,19,10.35,0.95637,1,,,,,,,,,,,,,,,,,,
176,GO:0060271,cilium assembly,30,1,3.04,0.9601,1,,,,,,,,,,,,,,,,,,
177,GO:0008299,isoprenoid biosynthetic process,49,3,4.97,0.9626,1,,,,,,,,,,,,,,,,,,
178,GO:0006357,regulation of transcription by RNA polymerase II,65,3,6.59,0.96767,1,,,,,,,,,,,,,,,,,,
179,GO:0006351,"transcription, DNA-templated",381,19,38.65,0.98614,1,,,,,,,,,,,,,,,,,,
180,GO:0006355,"regulation of transcription, DNA-templated",309,17,31.35,0.99686,1,,,,,,,,,,,,,,,,,,
181,GO:0050909,sensory perception of taste,66,1,6.7,0.99919,1,,,,,,,,,,,,,,,,,,
182,GO:0006259,DNA metabolic process,107,1,10.86,0.99999,1,,,,,,,,,,,,,,,,,,
183,GO:0006412,translation,183,7,18.57,1,1,,,,,,,,,,,,,,,,,,
184,GO:0007608,sensory perception of smell,295,3,29.93,1,1,,,,,,,,,,,,,,,,,,
185,GO:0032787,monocarboxylic acid metabolic process,48,5,4.87,1,1,,,,,,,,,,,,,,,,,,
186,GO:0043038,amino acid activation,30,3,3.04,1,1,,,,,,,,,,,,,,,,,,
187,GO:0019693,ribose phosphate metabolic process,36,5,3.65,1,1,,,,,,,,,,,,,,,,,,
188,GO:0002009,morphogenesis of an epithelium,4,1,0.41,1,1,,,,,,,,,,,,,,,,,,
189,GO:0043039,tRNA aminoacylation,30,3,3.04,1,1,,,,,,,,,,,,,,,,,,
190,GO:0031323,regulation of cellular metabolic process,362,19,36.72,1,1,,,,,,,,,,,,,,,,,,
191,GO:0031324,negative regulation of cellular metabolic process,25,2,2.54,1,1,,,,,,,,,,,,,,,,,,
192,GO:0046474,glycerophospholipid biosynthetic process,23,1,2.33,1,1,,,,,,,,,,,,,,,,,,
193,GO:0009141,nucleoside triphosphate metabolic process,14,4,1.42,1,1,,,,,,,,,,,,,,,,,,
194,GO:0008283,cell population proliferation,2,1,0.2,1,1,,,,,,,,,,,,,,,,,,
195,GO:0009142,nucleoside triphosphate biosynthetic process,13,3,1.32,1,1,,,,,,,,,,,,,,,,,,
196,GO:0031326,regulation of cellular biosynthetic process,328,17,33.28,1,1,,,,,,,,,,,,,,,,,,
197,GO:0045010,actin nucleation,6,2,0.61,1,1,,,,,,,,,,,,,,,,,,
198,GO:0031327,negative regulation of cellular biosynthetic process,20,1,2.03,1,1,,,,,,,,,,,,,,,,,,
199,GO:0009144,purine nucleoside triphosphate metabolic process,13,3,1.32,1,1,,,,,,,,,,,,,,,,,,
200,GO:0043632,modification-dependent macromolecule catabolic process,49,5,4.97,1,1,,,,,,,,,,,,,,,,,,
201,GO:0009145,purine nucleoside triphosphate biosynthetic process,13,3,1.32,1,1,,,,,,,,,,,,,,,,,,
202,GO:0006810,transport,612,107,62.09,1,1,,,,,,,,,,,,,,,,,,
203,GO:0045017,glycerolipid biosynthetic process,25,1,2.54,1,1,,,,,,,,,,,,,,,,,,
204,GO:0032774,RNA biosynthetic process,385,19,39.06,1,1,,,,,,,,,,,,,,,,,,
205,GO:0022898,regulation of transmembrane transporter activity,12,2,1.22,1,1,,,,,,,,,,,,,,,,,,
206,GO:0006163,purine nucleotide metabolic process,39,6,3.96,1,1,,,,,,,,,,,,,,,,,,
207,GO:0006816,calcium ion transport,6,1,0.61,1,1,,,,,,,,,,,,,,,,,,
208,GO:0019321,pentose metabolic process,3,1,0.3,1,1,,,,,,,,,,,,,,,,,,
209,GO:0042325,regulation of phosphorylation,12,1,1.22,1,1,,,,,,,,,,,,,,,,,,
210,GO:0042326,negative regulation of phosphorylation,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
211,GO:0060047,heart contraction,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
212,GO:0051028,mRNA transport,6,1,0.61,1,1,,,,,,,,,,,,,,,,,,
213,GO:0065002,intracellular protein transmembrane transport,11,1,1.12,1,1,,,,,,,,,,,,,,,,,,
214,GO:0065003,protein-containing complex assembly,101,9,10.25,1,1,,,,,,,,,,,,,,,,,,
215,GO:0065007,biological regulation,835,67,84.71,1,1,,,,,,,,,,,,,,,,,,
216,GO:1902850,microtubule cytoskeleton organization involved in mitosis,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
217,GO:0065008,regulation of biological quality,54,8,5.48,1,1,,,,,,,,,,,,,,,,,,
218,GO:0065009,regulation of molecular function,47,6,4.77,1,1,,,,,,,,,,,,,,,,,,
219,GO:0051301,cell division,6,1,0.61,1,1,,,,,,,,,,,,,,,,,,
220,GO:0001932,regulation of protein phosphorylation,11,1,1.12,1,1,,,,,,,,,,,,,,,,,,
221,GO:0001933,negative regulation of protein phosphorylation,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
222,GO:0045047,protein targeting to ER,7,1,0.71,1,1,,,,,,,,,,,,,,,,,,
223,GO:0046700,heterocycle catabolic process,40,4,4.06,1,1,,,,,,,,,,,,,,,,,,
224,GO:0006848,pyruvate transport,4,2,0.41,1,1,,,,,,,,,,,,,,,,,,
225,GO:0090304,nucleic acid metabolic process,751,32,76.19,1,1,,,,,,,,,,,,,,,,,,
